"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo","Región","Region",NA,"Aisén|Aysén|Aysén del General Carlos Ibáñez del Campo"
2,48,"CHL","Chile",2,"Antofagasta","Región","Region",NA,NA
3,48,"CHL","Chile",3,"Araucanía","Región","Region",NA,"Araucanie|La Araucanía"
4,48,"CHL","Chile",4,"Arica y Parinacota","Región","Region",NA,NA
5,48,"CHL","Chile",5,"Atacama","Región","Region",NA,NA
6,48,"CHL","Chile",6,"Bío-Bío","Región","Region",NA,"Bíobío"
7,48,"CHL","Chile",7,"Coquimbo","Región","Region",NA,NA
8,48,"CHL","Chile",8,"Libertador General Bernardo O'Higgins","Región","Region",NA,"Libertador"
9,48,"CHL","Chile",9,"Los Lagos","Región","Region",NA,"Os Lagos"
10,48,"CHL","Chile",10,"Los Ríos","Región","Region",NA,NA
11,48,"CHL","Chile",11,"Magallanes y Antártica Chilena","Región","Region",NA,"Magalhães|Magellan et Antarctique Chilienne|Región de Magallanes y de la Antártica Chilena"
12,48,"CHL","Chile",11,"Magallanes y Antártica Chilena","Región","Region",NA,"Magalhães|Magellan et Antarctique Chilienne|Región de Magallanes y de la Antártica Chilena"
13,48,"CHL","Chile",12,"Maule","Región","Region",NA,NA
14,48,"CHL","Chile",13,"Región Metropolitana de Santiago","Región","Region",NA,"Región Metropolitana|Région Metropolitaine de Santiago|Región Metropolitana|RM"
15,48,"CHL","Chile",14,"Tarapacá","Región","Region",NA,NA
16,48,"CHL","Chile",15,"Valparaíso","Región","Region",NA,"Aconcagua"
