"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",1,"Aisen","Comuna","Municipality",NA,NA
2,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",2,"Cisnes","Comuna","Municipality",NA,NA
3,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",1,"Aisén",3,"Guaitecas","Comuna","Municipality",NA,NA
4,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",4,"Cochrane","Comuna","Municipality",NA,NA
5,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",5,"O'Higgins","Comuna","Municipality",NA,NA
6,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",2,"Capitán Prat",6,"Tortel","Comuna","Municipality",NA,NA
7,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique",7,"Coihaique","Comuna","Municipality",NA,NA
8,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",3,"Coihaique",8,"Lago Verde","Comuna","Municipality",NA,NA
9,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera",9,"Chile Chico","Comuna","Municipality",NA,NA
10,48,"CHL","Chile",1,"Aisén del General Carlos Ibáñez del Campo",4,"General Carrera",10,"Rio Ibanez","Comuna","Municipality",NA,NA
11,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",11,"Antofagasta","Comuna","Municipality",NA,NA
12,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",12,"Mejillones","Comuna","Municipality",NA,NA
13,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",13,"Sierra Gorda","Comuna","Municipality",NA,NA
14,48,"CHL","Chile",2,"Antofagasta",5,"Antofagasta",14,"Taltal","Comuna","Municipality",NA,NA
15,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",15,"Calama","Comuna","Municipality",NA,NA
16,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",16,"Ollague","Comuna","Municipality",NA,NA
17,48,"CHL","Chile",2,"Antofagasta",6,"El Loa",17,"San Pedro de Atacama","Comuna","Municipality",NA,NA
18,48,"CHL","Chile",2,"Antofagasta",7,"Tocopilla",18,"Maria Elena","Comuna","Municipality",NA,NA
19,48,"CHL","Chile",2,"Antofagasta",7,"Tocopilla",19,"Tocopilla","Comuna","Municipality",NA,NA
20,48,"CHL","Chile",3,"Araucanía",8,"Cautín",20,"Carahue","Comuna","Municipality",NA,NA
21,48,"CHL","Chile",3,"Araucanía",8,"Cautín",21,"Cunco","Comuna","Municipality",NA,NA
22,48,"CHL","Chile",3,"Araucanía",8,"Cautín",22,"Curarrehue","Comuna","Municipality",NA,NA
23,48,"CHL","Chile",3,"Araucanía",8,"Cautín",23,"Freire","Comuna","Municipality",NA,NA
24,48,"CHL","Chile",3,"Araucanía",8,"Cautín",24,"Galvarino","Comuna","Municipality",NA,NA
25,48,"CHL","Chile",3,"Araucanía",8,"Cautín",25,"Golbea","Comuna","Municipality",NA,NA
26,48,"CHL","Chile",3,"Araucanía",8,"Cautín",26,"Lautaro","Comuna","Municipality",NA,NA
27,48,"CHL","Chile",3,"Araucanía",8,"Cautín",27,"Loncoche","Comuna","Municipality",NA,NA
28,48,"CHL","Chile",3,"Araucanía",8,"Cautín",28,"Melipeuco","Comuna","Municipality",NA,NA
29,48,"CHL","Chile",3,"Araucanía",8,"Cautín",29,"Nueva Imperial","Comuna","Municipality",NA,NA
30,48,"CHL","Chile",3,"Araucanía",8,"Cautín",30,"Perquenco","Comuna","Municipality",NA,NA
31,48,"CHL","Chile",3,"Araucanía",8,"Cautín",31,"Pitrufquen","Comuna","Municipality",NA,NA
32,48,"CHL","Chile",3,"Araucanía",8,"Cautín",32,"Pucon","Comuna","Municipality",NA,NA
33,48,"CHL","Chile",3,"Araucanía",8,"Cautín",33,"Saavedra","Comuna","Municipality",NA,NA
34,48,"CHL","Chile",3,"Araucanía",8,"Cautín",34,"Temuco","Comuna","Municipality",NA,NA
35,48,"CHL","Chile",3,"Araucanía",8,"Cautín",35,"Teodoro Schmidt","Comuna","Municipality",NA,NA
36,48,"CHL","Chile",3,"Araucanía",8,"Cautín",36,"Tolten","Comuna","Municipality",NA,NA
37,48,"CHL","Chile",3,"Araucanía",8,"Cautín",37,"Vilcun","Comuna","Municipality",NA,NA
38,48,"CHL","Chile",3,"Araucanía",8,"Cautín",38,"Villarrica","Comuna","Municipality",NA,NA
39,48,"CHL","Chile",3,"Araucanía",9,"Malleco",39,"Angol","Comuna","Municipality",NA,NA
40,48,"CHL","Chile",3,"Araucanía",9,"Malleco",40,"Collipulli","Comuna","Municipality",NA,NA
41,48,"CHL","Chile",3,"Araucanía",9,"Malleco",41,"Curacautin","Comuna","Municipality",NA,NA
42,48,"CHL","Chile",3,"Araucanía",9,"Malleco",42,"Ercilla","Comuna","Municipality",NA,NA
43,48,"CHL","Chile",3,"Araucanía",9,"Malleco",43,"Lonquimay","Comuna","Municipality",NA,NA
44,48,"CHL","Chile",3,"Araucanía",9,"Malleco",44,"Los Sauces","Comuna","Municipality",NA,NA
45,48,"CHL","Chile",3,"Araucanía",9,"Malleco",45,"Lumaco","Comuna","Municipality",NA,NA
46,48,"CHL","Chile",3,"Araucanía",9,"Malleco",46,"Puren","Comuna","Municipality",NA,NA
47,48,"CHL","Chile",3,"Araucanía",9,"Malleco",47,"Renaico","Comuna","Municipality",NA,NA
48,48,"CHL","Chile",3,"Araucanía",9,"Malleco",48,"Traiguen","Comuna","Municipality",NA,NA
49,48,"CHL","Chile",3,"Araucanía",9,"Malleco",49,"Victoria","Comuna","Municipality",NA,NA
50,48,"CHL","Chile",4,"Arica y Parinacota",10,"Arica",50,"Arica","Comuna","Municipality",NA,NA
51,48,"CHL","Chile",4,"Arica y Parinacota",10,"Arica",51,"Camarones","Comuna","Municipality",NA,NA
52,48,"CHL","Chile",4,"Arica y Parinacota",11,"Parinacota",52,"General Lagos","Comuna","Municipality",NA,NA
