"","Ctenomys maulinus","Reithrodon auritus","Loxodontomys micropus","Akodon albiventer","Ctenomys opimus","Auliscomys boliviensis","Abrothrix olivaceus","Abrothrix manni","Abrothrix lanosus","Octodon lunatus","Auliscomys sublimis","Octodon bridgesi","Phyllotis magister","Spalacopus cyanus","Euneomys chinchilloides","Euneomys mordax","Chinchillula sahamae","Octodontomys gliroides","Chelemys macronyx","Abrothrix sanborni","Loxodontomys pikumche","Octodon degus","Oligoryzomys longicaudatus","Abrocoma bennettii","Abrothrix andinus","Phyllotis xanthopygus","Geoxus valdivianus","Lagidium viscacia","Phyllotis osgoodi","Abrothrix longipilis","Mus musculus","Abrocoma cinerea","Eligmodontia puerulus","Aconaemys fuscus","Ctenomys fulvus","Aconaemys sagei","Aconaemys porteri","Irenomys tarsalis","Ctenomys magellanicus","Phyllotis darwini","Andinomys edax","Eligmodontia typus","Myocastor coypus"
"Ctenomys maulinus",0,13.554907506442,3.49312414948435,16.9876858823005,15.6829676126999,19.5870935739002,1.09477746495003,3.37788049043403,14.96916418596,5.37293877290254,16.9926788639464,0.746791239272458,17.4319350238625,5.19043942135279,16.2062800007859,1.58168352346489,19.513694407025,18.8545873791751,2.35850016384743,6.16587170864618,2.96159603925779,5.4297772438395,3.34432981358614,7.44564706383608,12.8023021946086,11.4656657875421,3.73527667115209,10.9911992357794,19.3501919686562,3.4702368886419,7.0063350267318,16.877303515779,17.0349068283365,1.4814240128627,15.5056003599491,1.52359690392584,2.64799033751053,4.14372388140027,13.5932432901983,5.89975945569599,19.5438177373018,13.4820010057803,5.0237486900222
"Reithrodon auritus",13.554907506442,0,10.1477662326988,30.3575612580364,29.0103238985563,33.0505522893389,12.5676684347017,10.6069675683788,1.44507838028349,18.9104294153351,30.3585892677722,14.2101853691665,30.8547154300745,18.7256168438428,2.73276207998856,14.9435315694185,32.9748877640221,32.3102773366632,11.3330714741158,8.35669617947054,16.4834413585694,18.9615133264605,10.4778559596441,20.9400712150125,26.1667996547418,24.834306262795,10.0182893737965,24.3718149223614,32.8160546041956,10.1235698201155,20.5168087860291,30.2430359432961,30.4193061022438,14.9960163614106,28.8695698783757,12.440971253345,11.0410920249786,9.69241811035883,0.258423398733678,19.4355767048672,33.0067075039007,1.27666086841332,8.73919776122472
"Loxodontomys micropus",3.49312414948435,10.1477662326988,0,20.4795231576091,19.171206101307,23.0777594057635,2.44262069913647,0.876334060655942,11.5423213049355,8.85616705724459,20.4843051104575,4.0905414976653,20.9250129275097,8.67523789459643,12.8365417856826,5.01405021479629,23.0045946098479,22.346088509434,1.18546992246501,2.89172538190136,6.4541438013526,8.91566697490151,0.563523531640664,10.9374640875728,16.2921613563541,14.9550030722782,0.399633467431653,14.4812787345336,22.8406622891841,0.218775718458861,10.4961707067475,20.3688897781813,20.5274046815459,4.97301432727605,18.9966611449061,2.29888918334002,0.893672823173136,0.791732856104088,10.1700830167761,9.38288580343731,23.0345489209063,10.0112642372208,1.53902828032781
"Akodon albiventer",16.9876858823005,30.3575612580364,20.4795231576091,0,1.38616869702764,2.90026435335748,18.060389611359,20.29519176195,31.7965178906132,11.6773794373124,0.0402444393184793,16.4413152129511,0.754529552184175,11.8500890396768,32.9002353911374,15.486203065087,2.81743766236375,2.18080418317257,19.3378157996395,23.0552684941384,14.0318375407733,11.6080835073371,20.3086464548326,9.56827001267695,4.19472919093922,5.53165462430456,20.7177712643969,6.00159969799248,2.70043060315838,20.4456513674711,10.0222433371043,0.120104962217076,0.16050213678657,15.5067489918707,1.48811048486497,18.3460333363184,19.6307249826292,21.1182646242601,30.4257234546645,11.1585431411306,2.85651422987606,30.4087558020617,22.0112932597133
"Ctenomys opimus",15.6829676126999,29.0103238985563,19.171206101307,1.38616869702764,0,4.27358540653336,16.7614215030704,19.008051557877,30.450634701175,10.4077891673176,1.37845054886178,15.1523628521249,2.04516586682275,10.5767717833499,31.5430268093709,14.1677778164025,4.19114326142295,3.54156226215019,18.0376235032361,21.7772738079361,12.7346416951,10.3352813474327,19.0133274055534,8.29659875337816,2.88394687818049,4.21790053854181,19.4169270538297,4.69381516249012,4.06595491380584,19.1324207783411,8.7550701538457,1.26641663040095,1.48573822209227,14.2015579027662,0.364772839617879,17.0607928603564,18.3294014295432,19.8207590048136,29.0812660063354,9.89445018784754,4.22944721652786,29.0767614900969,20.7059442290868
"Auliscomys boliviensis",19.5870935739002,33.0505522893389,23.0777594057635,2.90026435335748,4.27358540653336,0,20.6420185381641,22.8407628766247,34.484260342291,14.2257467208938,2.91516438337986,19.0047599529306,2.25056923728385,14.4049844644234,35.6235050674453,18.1248179874621,0.0829735222068626,0.746693056786462,21.918535519865,25.5707941251124,16.6258349698686,14.1638714730752,22.8744580835086,12.1417904308559,6.93116832733903,8.24238757566079,23.2963841440239,8.69370487784393,0.239011973000189,23.0566315840205,12.5815962434473,3.01987835539473,2.78852218219828,18.1128996858883,4.30607233211033,20.8932565370873,22.2134439067198,23.6874270791773,33.1101273477704,13.6999783907685,0.0445390004716347,33.0562055962127,24.5983469474384
"Abrothrix olivaceus",1.09477746495003,12.5676684347017,2.44262069913647,18.060389611359,16.7614215030704,20.6420185381641,0,2.28331779251735,13.9711533321976,6.41726124476223,18.0658780194852,1.64843745191855,18.4964408442128,6.23724058505515,15.2403052538035,2.67339612257316,20.5691893828868,19.911709286612,1.27774802640965,5.07109508014458,4.02856133369479,6.47819498319054,2.25450883648973,8.50565927237602,13.8792007963885,12.5435428940213,2.65766161772686,12.068166173947,20.4046771662883,2.44575531620205,8.06136631639763,17.9506047981884,18.1056525960576,2.56566921467574,16.5801344721701,0.562240958564637,1.57181773854531,3.0593870154726,12.596918078532,6.94369373086584,20.5989006086747,12.4532224406653,3.9564877534075
"Abrothrix manni",3.37788049043403,10.6069675683788,0.876334060655942,20.29519176195,19.008051557877,22.8407628766247,2.28331779251735,0,11.9723790983195,8.62395668948743,20.3016484508168,3.85569369448312,20.7150651635399,8.44836206500421,13.321281057618,4.95602527992393,22.7690881370901,22.115173082067,1.08703657988736,2.7888499842313,6.27754353770746,8.69036824421989,0.318905211956649,10.7282339367676,16.1242317074413,14.7912405510852,0.687535293995427,14.3145317140373,22.6027124987923,1.08163871196858,10.2773108690648,20.1866265467911,20.336607239546,4.83888255255465,18.8191962017237,1.94959999689447,0.869270015682849,0.917023096749086,10.6105875463171,9.14718745107215,22.7979787211279,10.3754750659776,1.86869188257789
"Abrothrix lanosus",14.96916418596,1.44507838028349,11.5423213049355,31.7965178906132,30.450634701175,34.484260342291,13.9711533321976,11.9723790983195,0,20.331185708555,31.7977167408656,15.6165543717268,32.2910216633459,20.1467399173935,1.60347711289872,16.3708401902934,34.4087788495664,33.7445191086881,12.7276287736322,9.63099020399704,17.9050792756266,20.3833371228884,11.8552162589501,22.3675823098097,27.6049376799442,26.2718137366164,11.3987676035707,25.8086065989593,34.2495161136278,11.5254718505612,21.9423405288319,31.6821476559859,31.8576128253463,16.4164753805532,30.3084581333033,13.8290020489894,12.4342921461579,11.0616002891864,1.37622063613705,20.8568491501037,34.4404581522953,1.81680351684452,10.1091875017513
"Octodon lunatus",5.37293877290254,18.9104294153351,8.85616705724459,11.6773794373124,10.4077891673176,14.2257467208938,6.41726124476223,8.62395668948743,20.331185708555,0,11.6847028089617,4.77928511995302,12.0911364348658,0.18662816767133,21.5397993904406,3.9912961631004,14.153198809936,13.4967917763118,7.69310333235467,11.3779734414258,2.42739696410473,0.0954343263295532,8.64988712170911,2.11130287126676,7.52653971271138,6.20506575611737,9.07064278693545,5.72696168448763,13.9882318462743,8.84194251975163,1.65513688221443,11.5699803752927,11.7159510527094,3.91472274712289,10.2069235757,6.67444545820967,7.9881790717904,9.46246427055568,18.9549651242841,0.526866051565398,14.1827046298293,18.8549384176942,10.3730219241154
"Auliscomys sublimis",16.9926788639464,30.3585892677722,20.4843051104575,0.0402444393184793,1.37845054886178,2.91516438337986,18.0658780194852,20.3016484508168,31.7977167408656,11.6847028089617,0,16.447523547452,0.78485031841641,11.8571734672122,32.8999862045684,15.4899742903468,2.83228036426591,2.19869050022281,19.3432401259095,23.062453075042,14.037316946217,11.6151842018691,20.3144790163546,9.5752478122374,4.19754601547432,5.53480474801147,20.7231745218954,6.00535100872204,2.71707774378611,20.4500110977707,10.0295718910428,0.115621587754853,0.197965802372124,15.5116529925365,1.49015092390468,18.3525795382954,19.6360653470148,21.1239429055916,30.4270813379619,11.1661869455007,2.87152597539176,30.4114715446467,22.0163533308468
