Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Abrothrix longipilis,Abrothrix longipilis,3,0.738462,0.829861,51.557043
Abrocoma bennetti,Abrocoma bennetti,3,0.6,0.673611,4.755591
Abrothrix olivaceus,Abrothrix olivaceus,3,0.786885,0.871528,123.392396
Aconaemys fuscus,Aconaemys fuscus,3,0.571429,0.638889,6.803186
Akodon albiventer,Akodon albiventer,3,0.585366,0.659722,0.539261
Ctenomys magellanicus,Ctenomys magellanicus,4,0.539326,0.609375,7.181818
Euneomys mordax,Euneomys mordax,3,0.623377,0.704861,4.190101
Loxodontomys micropus,Loxodontomys micropus,3,0.685714,0.777778,22.26367
Octodon bridgesi,Octodon bridgesi,3,0.55814,0.611111,1.186122
Octodon degus,Octodon degus,3,0.666667,0.756944,63.190426
Octodon lunatus,Octodon lunatus,3,0.527473,0.572917,0.076923
Oligoryzomys longicaudatus,Oligoryzomys longicaudatus,3,0.727273,0.819444,55.283522
Phyllotis darwini,Phyllotis darwini,3,0.761905,0.850694,240.228219
Phyllotis xanthopygus,Phyllotis xanthopygus,3,0.676056,0.774306,78.248362
Rattus norvegicus,Rattus norvegicus,3,0.631579,0.715278,91.003533
Rattus rattus,Rattus rattus,2,0.727273,0.8125,91.843275
Reithrodon auritus,Reithrodon auritus,3,0.685714,0.777778,24.648518
Spalacopus cyanus,Spalacopus cyanus,3,0.607595,0.690972,3.187033
Abrothrix andinus,Abrothrix andinus,3,0.585366,0.659722,0.489394
Abrocoma cinerea,Abrocoma cinerea,3,0.578313,0.649306,0
Aconaemys porteri,Aconaemys porteri,3,0.676056,0.767361,22.34556
Chelemys macronyx,Chelemys macronyx,3,0.648649,0.743056,17.093504
Ctenomys opimus,Ctenomys opimus,3,0.578313,0.649306,0
Octodontomys gliroides,Octodontomys gliroides,2,0.615385,0.6875,37.508742
Geoxus valdivianus,Geoxus valdivianus,3,0.623377,0.711806,16.697919
Abrothrix lanosus,Abrothrix lanosus,3,0.571429,0.645833,0
Abrothrix sanborni,Abrothrix sanborni,3,0.585366,0.666667,8.307576
Loxodontomys pikumche,Loxodontomys pikumche,3,0.592593,0.670139,1.438745
Ctenomys maulinus,Ctenomys maulinus,3,0.564706,0.635417,9.11532
Eligmodontia typus,Eligmodontia typus,4,0.470588,0.515625,0
Euneomys chinchilloides,Euneomys chinchilloides,4,0.457143,0.498264,0
Irenomys tarsalis,Irenomys tarsalis,4,0.466019,0.519097,0
Myocastor coypus,Myocastor coypus,3,0.475248,0.517361,0
Abrothrix manni,Abrothrix manni,4,0.457143,0.498264,0
Aconaemys sagei,Aconaemys sagei,4,0.461538,0.508681,0
Ctenomys colburni,Ctenomys colburni,4,0.45283,0.487847,0
Mus musculus,Mus musculus,3,0.489796,0.534722,2.424242
Auliscomys boliviensis,Auliscomys boliviensis,4,0.448598,0.491319,0
Andinomys edax,Andinomys edax,3,0.461538,0.506944,3
Chinchillula sahamae,Chinchillula sahamae,4,0.448598,0.491319,0
Phyllotis osgoodi,Phyllotis osgoodi,4,0.448598,0.491319,0
Auliscomys sublimis,Auliscomys sublimis,4,0.40678,0.434028,0
Cavia porcellus,Cavia porcellus,4,0.390244,0.414931,0
Ctenomys robustus,Ctenomys robustus,3,0.45283,0.493056,47
Ctenomys fulvus,Ctenomys fulvus,4,0.313725,0.333333,0
Eligmodontia puerulus,Eligmodontia puerulus,4,0.436364,0.460069,0
Lagidium viscacia,Lagidium viscacia,3,0.440367,0.475694,0
Octomys mimax,Octomys mimax,4,0.403361,0.428819,0
Phyllotis magister,Phyllotis magister,4,0.448598,0.477431,0
Ctenomys osgoodi,Ctenomys osgoodi,0,0,0,0
