Parasite,Rodent
Ixodes abrocomae,Abrothrix longipilis
Ixodes abrocomae,Abrothrix olivaceus
Ixodes abrocomae,Phyllotis xanthopygus
Ixodes sigelos,Rattus norvegicus
Ixodes sigelos,Octodon bridgesi
Ixodes sigelos,Phyllotis darwini
Ixodes sigelos,Aconaemys fuscus
Ixodes sigelos,Octodon degus
Ixodes sigelos,Oligoryzomys longicaudatus
Ixodes stilesi,Oligoryzomys longicaudatus
Ornithodoros octodontus,Octodon degus
Rhipicephalus sanguineus,Rattus norvegicus
Androlaelaps farenholzi,Phyllotis xanthopygus
Androlaelaps farenholzi,Akodon albiventer
Androlaelaps farenholzi,Phyllotis darwini
Androlaelaps farenholzi,Abrothrix olivaceus
Gigantolaelaps wolffsohni,Rattus rattus
Gigantolaelaps wolffsohni,Oligoryzomys longicaudatus
Laelaps echidninus,Rattus rattus
Laelaps echidninus,Rattus norvegicus
Lukoschus maresi ,Abrothrix olivaceus
Mysolaelaps microspinosus,Oligoryzomys longicaudatus
Ornithonyssus bacoti,Rattus rattus
Amlistrophorus geoxus,Geoxus valdivianus
Argentinacarus expansus,Abrothrix olivaceus
Argentinacarus expansus,Abrothrix manni
Argentinacarus expansus,Oligoryzomys longicaudatus
Argentinacarus expansus,Geoxus valdivianus
Chilacarus martini,Abrothrix longipilis
Herpetacarus antarctica,Oligoryzomys longicaudatus
Herpetacarus antarctica,Loxodontomys micropus
Herpetacarus eloisae,Abrothrix olivaceus
Herpetacarus eloisae,Abrothrix sanborni
Herpetacarus eloisae,Geoxus valdivianus
Herpetacarus eloisae,Abrothrix manni
Herpetacarus eloisae,Oligoryzomys longicaudatus
Paraguacarus santiagoensis,Octodon degus
Paratrombicula enciscoensis,Abrothrix olivaceus
Paratrombicula goffi,Abrothrix olivaceus
Paratrombicula goffi,Oligoryzomys longicaudatus
Paratrombicula goffi,Geoxus valdivianus
Paratrombicula neuquenensis,Abrothrix olivaceus
Paratrombicula neuquenensis,Abrothrix manni
Paratrombicula neuquenensis,Oligoryzomys longicaudatus
Poliremotus chilensis,Octodon degus
Quadraseta chiloensis,Abrothrix olivaceus
Quadraseta chiloensis,Geoxus valdivianus
Quadraseta chiloensis,Oligoryzomys longicaudatus
Quadraseta chiloensis,Abrothrix manni
Abrocomophaga hellenthali,Octodon degus
Ferrisella chilensis,Octodon degus
Ferrisella disgrega,Octodontomys gliroides
Gyropus distinctus,Octodon degus
Gyropus distinctus,Octodon lunatus
Gyropus elongatus,Aconaemys fuscus
Gyropus latipllicaris,Ctenomys magellanicus
Gyropus parvus,Ctenomys maulinus
Hoplopleura aitkeni,Phyllotis darwini
Hoplopleura aitkeni,Phyllotis xanthopygus
Hoplopleura andina,Abrothrix olivaceus
Hoplopleura andina,Abrothrix andinus
Hoplopleura andina,Geoxus valdivianus
Hoplopleura pacifica,Rattus norvegicus
Hoplopleura travassosi,Oligoryzomys longicaudatus
Phtheiropoios nematophallus,Ctenomys opimus
Phtheiropoios pollicaris,Ctenomys magellanicus
Agastopsylla boxi,Abrothrix olivaceus
Agastopsylla boxi,Loxodontomys micropus
Agastopsylla boxi,Abrothrix longipilis
Agastopsylla boxi,Reithrodon auritus
Agastopsylla boxi,Phyllotis xanthopygus
Agastopsylla boxi,Euneomys mordax
Agastopsylla guzmani,Akodon albiventer
Agastopsylla hirsutior,Abrothrix longipilis
Agastopsylla nylota,Euneomys chinchilloides
Agastopsylla pearsoni,Abrothrix longipilis
Barreropsylla excelsa,Abrothrix longipilis
Barreropsylla excelsa,Abrothrix olivaceus
Barreropsylla excelsa,Loxodontomys micropus
Barreropsylla excelsa,Geoxus valdivianus
Barreropsylla excelsa,Oligoryzomys longicaudatus
Chiliopsylla allophyla,Abrothrix longipilis
Chiliopsylla allophyla,Abrothrix olivaceus
Chiliopsylla allophyla,Abrothrix sanborni
Chiliopsylla allophyla,Oligoryzomys longicaudatus
Chiliopsylla allophyla,Loxodontomys micropus
Chiliopsylla allophyla,Chelemys macronyx
Chiliopsylla allophyla,Irenomys tarsalis
Cleopsylla townsendi,Octodon lunatus
Craneopsylla minerva,Phyllotis darwini
Craneopsylla minerva,Phyllotis xanthopygus
Craneopsylla minerva,Abrothrix olivaceus
Craneopsylla minerva,Reithrodon auritus
Ctenocephalides canis,Rattus norvegicus
Ctenocephalides felis,Rattus rattus
Ctenocephalides felis,Rattus norvegicus
Ctenoparia inopinata,Abrothrix longipilis
Ctenoparia inopinata,Abrothrix olivaceus
Ctenoparia inopinata,Oligoryzomys longicaudatus
Ctenoparia inopinata,Rattus rattus
Ctenoparia inopinata,Abrothrix sanborni
Ctenoparia inopinata,Geoxus valdivianus
Ctenoparia inopinata,Phyllotis darwini
Ctenoparia inopinata,Loxodontomys micropus
Ctenoparia inopinata,Aconaemys porteri
Ctenoparia intermedia,Loxodontomys micropus
Ctenoparia jordani,Abrothrix olivaceus
Ctenoparia jordani,Rattus rattus
Ctenoparia jordani,Abrothrix longipilis
Ctenoparia jordani,Loxodontomys micropus
Ctenoparia jordani,Oligoryzomys longicaudatus
Ctenoparia topallii,Abrothrix olivaceus
Ctenoparia topallii,Abrothrix longipilis
Ctenoparia topallii,Abrothrix sanborni
Ctenoparia topallii,Loxodontomys micropus
Ctenoparia topallii,Oligoryzomys longicaudatus
Ctenoparia topallii,Spalacopus cyanus
Dasypsyllus aedon,Abrothrix longipilis
Dasypsyllus araucanus,Abrothrix olivaceus
Delostichus coxalis,Octodon degus
Delostichus coxalis,Rattus rattus
Delostichus coxalis,Abrothrix olivaceus
Delostichus coxalis,Octodon lunatus
Delostichus degus,Octodon degus
Delostichus octomyos,Octodon degus
Delostichus phyllotis,Octodon degus
Delostichus phyllotis,Phyllotis darwini
Delostichus phyllotis,Octodon bridgesi
Delostichus smiti,Octodon degus
Delostichus smiti,Rattus rattus
Delostichus smiti,Phyllotis darwini
Delostichus smiti,Abrothrix longipilis
Echidnophaga gallinacea,Rattus norvegicus
Echidnophaga gallinacea,Cavia porcellus
Ectinorus angularis,Abrothrix olivaceus
Ectinorus chilensis,Oligoryzomys longicaudatus
Ectinorus chilensis,Octodon degus
Ectinorus chilensis,Aconaemys fuscus
Ectinorus chilensis,Spalacopus cyanus
Ectinorus cocyti ,Abrothrix olivaceus
Ectinorus cocyti ,Octodon degus
Ectinorus cocyti ,Spalacopus cyanus
Ectinorus curvatus,Phyllotis darwini
Ectinorus deplexus,Euneomys chinchilloides
Ectinorus gallardoi,Aconaemys fuscus
Ectinorus hertigi,Ctenomys fulvus
Ectinorus ineptus,Phyllotis darwini
Ectinorus ineptus,Eligmodontia puerulus
Ectinorus insignis,Eligmodontia puerulus
Ectinorus ixanus,Loxodontomys micropus
Ectinorus levipes,Abrothrix longipilis
Ectinorus martini,Aconaemys fuscus
Ectinorus martini,Aconaemys porteri
Ectinorus martini,Aconaemys sagei
Ectinorus martini,Geoxus valdivianus
Ectinorus martini,Chelemys macronyx
Ectinorus martini,Abrothrix olivaceus
Ectinorus mondacai,Aconaemys fuscus
Ectinorus mondacai,Aconaemys porteri
Ectinorus nomisis,Octodontomys gliroides
Ectinorus nomisis,Andinomys edax
Ectinorus onychius,Abrothrix longipilis
Ectinorus onychius,Abrothrix olivaceus
Ectinorus onychius,Loxodontomys micropus
Ectinorus onychius,Reithrodon auritus
Ectinorus onychius,Phyllotis xanthopygus
Ectinorus onychius,Eligmodontia typus
Ectinorus simonsi,Octodontomys gliroides
Ectinorus splendidus,Euneomys chinchilloides
Ectinorus uncinatus,Andinomys edax
Hectopsylla cypha,Abrothrix longipilis
Hectopsylla cypha,Abrothrix olivaceus
Hectopsylla cypha,Oligoryzomys longicaudatus
Hectopsylla cypha,Phyllotis darwini
Hectopsylla cypha,Phyllotis xanthopygus
Hectopsylla gemina,Phyllotis darwini
Hectopsylla suarezi,Ctenomys fulvus
Hectopsylla suarezi,Rattus rattus
Hectopsylla suarezi,Rattus norvegicus
Hectopsylla suarezi,Octodontomys gliroides
Leptopsylla segnis,Oligoryzomys longicaudatus
Leptopsylla segnis,Rattus rattus
Leptopsylla segnis,Mus musculus
Leptopsylla segnis,Abrothrix olivaceus
Leptopsylla segnis,Rattus norvegicus
Leptopsylla segnis,Octodon degus
Listronius fortis,Abrothrix longipilis
Listronius fortis,Abrothrix olivaceus
Listronius plesiomorphus,Abrothrix longipilis
Listronius plesiomorphus,Chelemys macronyx
Listronius ulus,Abrothrix longipilis
Listronius ulus,Abrothrix olivaceus
Listronius ulus,Loxodontomys micropus
Listronius ulus,Reithrodon auritus
Neotyphloceras chilensis,Abrothrix longipilis
Neotyphloceras chilensis,Oligoryzomys longicaudatus
Neotyphloceras chilensis,Phyllotis darwini
Neotyphloceras chilensis,Octodon degus
Neotyphloceras chilensis,Rattus rattus
Neotyphloceras chilensis,Abrothrix olivaceus
Neotyphloceras chilensis,Phyllotis xanthopygus
