Rodent,ID
Rattus norvegicus,MH794461.1
Octodon bridgesi,KJ742651.1
Phyllotis darwini,AY956729.1
Octodon degus,AF007058.1
Rattus rattus,AB211039.1
Oligoryzomys longicaudatus,GU393998.1
Phyllotis xanthopygus,KR089034.1
Akodon albiventer,KC841385.1
Abrothrix olivaceus,KC841338.1
Abrothrix sanborni,KJ614629.1
Geoxus valdivianus,HM167877.1
Abrothrix manni,MH917345.1
Loxodontomys micropus,AF108690.1
Abrothrix longipilis,GU564005.1
Mus musculus,LC605043.1
Abrothrix lanosus,EU683433.1
Aconaemys fuscus,KC731571.1
Octodontomys gliroides,AF370706.1
Octodon lunatus,KX298476.1
Ctenomys maulinus,AF370702.1
Abrothrix andinus,AF108671.1
Ctenomys magellanicus,AF370690.1
Ctenomys opimus,AF007042.1
Reithrodon auritus,EU579474.1
Euneomys mordax,HM197718.1
Euneomys chinchilloides,AY275115.1
Chelemys macronyx,U03533.2
Irenomys tarsalis,U03534.2
Aconaemys porteri,MT461704.1
Spalacopus cyanus,AF007061.1
Cavia porcellus,DQ017040.1
Ctenomys fulvus,AF370688.1
Eligmodontia puerulus,EU377651.1
Aconaemys sagei,KJ742650.1
Andinomys edax,AF159284.1
Eligmodontia typus,AF108692.1
Myocastor coypus,EU544663.1
Chinchillula sahamae,JQ434422.1
Auliscomys boliviensis,JQ434420.1
Phyllotis magister,U86824.2
Auliscomys sublimis,JQ434421.1
Ctenomys colburni,HM777474.1
