"","Abrothrix.andinus","Abrothrix.lanosus","Abrothrix.longipilis","Abrothrix.manni","Abrothrix.olivaceus","Abrothrix.sanborni","Aconaemys.fuscus","Aconaemys.porteri","Aconaemys.sagei","Akodon.albiventer","Andinomys.edax","Auliscomys.boliviensis","Auliscomys.sublimis","Chelemys.macronyx","Chinchillula.sahamae","Ctenomys.fulvus","Ctenomys.magellanicus","Ctenomys.maulinus","Ctenomys.opimus","Eligmodontia.puerulus","Eligmodontia.typus","Euneomys.chinchilloides","Euneomys.mordax","Geoxus.valdivianus","Irenomys.tarsalis","Loxodontomys.micropus","Mus.musculus","Myocastor.coypus","Octodon.bridgesi","Octodon.degus","Octodon.lunatus","Octodontomys.gliroides","Oligoryzomys.longicaudatus","Phyllotis.darwini","Phyllotis.magister","Phyllotis.xanthopygus","Reithrodon.auritus","Spalacopus.cyanus"
"Abrothrix andinus",0,27.6049376799442,16.2556423143374,16.1242317074413,13.8792007963885,18.8934226703125,11.3209037501581,15.4478922809467,14.1768653447784,4.19472919093922,6.88674738951399,6.93116832733903,4.19754601547432,15.1557906642432,6.85241146006911,2.70752534739033,26.2335130808321,12.8023021946086,2.88394687818049,4.25274497858381,26.2140328911887,28.7179836045516,11.2936152510675,16.5353507138293,16.9383847632547,16.2921613563541,5.87569995724919,17.8258543056876,12.2685605492735,7.45323095014688,7.52653971271138,6.18475040047801,16.1304785841227,7.01528170929058,4.70045228413954,1.3377023458968,26.1667996547418,7.69451835399436
"Abrothrix lanosus",27.6049376799442,0,11.5254718505612,11.9723790983195,13.9711533321976,9.63099020399704,16.4164753805532,12.4342921461579,13.8290020489894,31.7965178906132,34.4404581522953,34.484260342291,31.7977167408656,12.7276287736322,34.4087788495664,30.3084581333033,1.37622063613705,14.96916418596,30.450634701175,31.8576128253463,1.81680351684452,1.60347711289872,16.3708401902934,11.3987676035707,11.0616002891864,11.5423213049355,21.9423405288319,10.1091875017513,15.6165543717268,20.3833371228884,20.331185708555,33.7445191086881,11.8552162589501,20.8568491501037,32.2910216633459,26.2718137366164,1.44507838028349,20.1467399173935
"Abrothrix longipilis",16.2556423143374,11.5254718505612,0,1.08163871196858,2.44575531620205,3.03140516897038,4.94458103202856,0.951412956561685,2.35202840943083,20.4456513674711,23.0133210119747,23.0566315840205,20.4500110977707,1.22760499285099,22.9831000748807,18.9615095671921,10.1514047400189,3.4702368886419,19.1324207783411,20.4951473344369,10.0146327592448,12.8025700038206,4.96663852300725,0.602872630539713,0.961366509027729,0.218775718458861,10.4764697826197,1.60951651572386,4.09258605097613,8.89959036373316,8.84194251975163,22.3235651447055,0.764137657184699,9.36880854412006,20.8974935597666,14.9180842673013,10.1235698201155,8.65992893855004
"Abrothrix manni",16.1242317074413,11.9723790983195,1.08163871196858,0,2.28331779251735,2.7888499842313,4.83888255255465,0.869270015682849,1.94959999689447,20.29519176195,22.7979787211279,22.8407628766247,20.3016484508168,1.08703657988736,22.7690881370901,18.8191962017237,10.6105875463171,3.37788049043403,19.008051557877,20.336607239546,10.3754750659776,13.321281057618,4.95602527992393,0.687535293995427,0.917023096749086,0.876334060655942,10.2773108690648,1.86869188257789,3.85569369448312,8.69036824421989,8.62395668948743,22.115173082067,0.318905211956649,9.14718745107215,20.7150651635399,14.7912405510852,10.6069675683788,8.44836206500421
"Abrothrix olivaceus",13.8792007963885,13.9711533321976,2.44575531620205,2.28331779251735,0,5.07109508014458,2.56566921467574,1.57181773854531,0.562240958564637,18.060389611359,20.5989006086747,20.6420185381641,18.0658780194852,1.27774802640965,20.5691893828868,16.5801344721701,12.596918078532,1.09477746495003,16.7614215030704,18.1056525960576,12.4532224406653,15.2403052538035,2.67339612257316,2.65766161772686,3.0593870154726,2.44262069913647,8.06136631639763,3.9564877534075,1.64843745191855,6.47819498319054,6.41726124476223,19.911709286612,2.25450883648973,6.94369373086584,18.4964408442128,12.5435428940213,12.5676684347017,6.23724058505515
"Abrothrix sanborni",18.8934226703125,9.63099020399704,3.03140516897038,2.7888499842313,5.07109508014458,0,7.62708238172919,3.5648470162692,4.72118397566731,23.0552684941384,25.5283135511564,25.5707941251124,23.062453075042,3.83414602209233,25.5001218767183,21.5830297817382,8.31601269320759,6.16587170864618,21.7772738079361,23.0937439882131,7.92594224793929,11.0873873763161,7.7417296663727,2.53527513253838,2.11070550893542,2.89172538190136,13.0330815377991,1.59381943505148,6.63176961165569,11.4472877779591,11.3779734414258,24.8495450215377,2.84437414421648,11.8979627586777,23.4624427699389,17.5628160701285,8.35669617947054,11.2053155571704
"Aconaemys fuscus",11.3209037501581,16.4164753805532,4.94458103202856,4.83888255255465,2.56566921467574,7.62708238172919,0,4.12860609226812,2.9240147472638,15.5067489918707,18.0695435425962,18.1128996858883,15.5116529925365,3.83797690463875,18.0392049079378,14.0243928391777,15.0402548010741,1.4814240128627,14.2015579027662,15.5543941829851,14.9480575413879,17.6306082301008,0.439310415300289,5.21609718040974,5.62288863473107,4.97301432727605,5.53573032337273,6.50502692715915,1.0713274144589,3.96734537636759,3.91472274712289,17.3793123720864,4.82010884346956,4.44042818120728,15.953418715486,9.98424283791645,14.9960163614106,3.73029780956478
"Aconaemys porteri",15.4478922809467,12.4342921461579,0.951412956561685,0.869270015682849,1.57181773854531,3.5648470162692,4.12860609226812,0,1.4069573124414,19.6307249826292,22.17034414222,22.2134439067198,19.6360653470148,0.29572651906679,22.1406774321672,18.1498509480022,11.0625399096097,2.64799033751053,18.3294014295432,19.6764928266277,10.8950855178641,13.7301359730044,4.20141297537199,1.08754343135637,1.49768939667851,0.893672823173136,9.63310108810615,2.38490351319753,3.21292951174122,8.04957308682493,7.9881790717904,21.4833518808456,0.721618320871853,8.51443646593944,20.0681612614521,14.1117253578126,11.0410920249786,7.80849424843087
"Aconaemys sagei",14.1768653447784,13.8290020489894,2.35202840943083,1.94959999689447,0.562240958564637,4.72118397566731,2.9240147472638,1.4069573124414,0,18.3460333363184,20.8504218187024,20.8932565370873,18.3525795382954,1.12451864171339,20.8214128236666,16.8705704026908,12.4589853931231,1.52359690392584,17.0607928603564,18.3871784916789,12.2713586514449,15.1342299196744,3.0919887088798,2.43639271998852,2.80488479233473,2.29888918334002,8.32771093994703,3.74048492741042,1.91060589642435,6.74076853467925,6.67444545820967,20.1669958706121,1.99260847524725,7.19787939565963,18.7655802243161,12.8446930832213,12.440971253345,6.49876330653738
"Akodon albiventer",4.19472919093922,31.7965178906132,20.4456513674711,20.29519176195,18.060389611359,23.0552684941384,15.5067489918707,19.6307249826292,18.3460333363184,0,2.85651422987606,2.90026435335748,0.0402444393184793,19.3378157996395,2.81743766236375,1.48811048486497,30.4257234546645,16.9876858823005,1.38616869702764,0.16050213678657,30.4087558020617,32.9002353911374,15.486203065087,20.7177712643969,21.1182646242601,20.4795231576091,10.0222433371043,22.0112932597133,16.4413152129511,11.6080835073371,11.6773794373124,2.18080418317257,20.3086464548326,11.1585431411306,0.754529552184175,5.53165462430456,30.3575612580364,11.8500890396768
