"","Abrocoma bennetti","Abrocoma cinerea","Abrothrix andinus","Abrothrix lanosus","Abrothrix longipilis","Abrothrix manni","Abrothrix olivaceus","Abrothrix sanborni","Aconaemys fuscus","Aconaemys porteri","Aconaemys sagei","Akodon albiventer","Andinomys edax","Auliscomys boliviensis","Auliscomys sublimis","Chelemys macronyx","Chinchillula sahamae","Ctenomys magellanicus","Ctenomys maulinus","Ctenomys opimus","Eligmodontia puerulus","Eligmodontia typus","Euneomys chinchilloides","Euneomys mordax","Geoxus valdivianus","Irenomys tarsalis","Lagidium viscacia","Loxodontomys micropus","Loxodontomys pikumche","Mus musculus","Myocastor coypus","Octodon bridgesi","Octodon degus","Octodon lunatus","Octodontomys gliroides","Oligoryzomys longicaudatus","Phyllotis darwini","Phyllotis magister","Phyllotis osgoodi","Phyllotis xanthopygus","Reithrodon auritus","Spalacopus cyanus"
"Abrocoma bennetti",0,2,2,2,1,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,1,2,2,2,1,1,1,2,1,1,2,2,1,1,1
"Abrocoma cinerea",2,0,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2
"Abrothrix andinus",2,1,0,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,3,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2
"Abrothrix lanosus",2,2,2,0,1,2,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1
"Abrothrix longipilis",1,1,1,1,0,2,1,1,1,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1
"Abrothrix manni",2,2,2,2,2,0,1,1,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,2,2,2,1,2,3,3,2,2,2
"Abrothrix olivaceus",1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1
"Abrothrix sanborni",2,2,2,1,1,1,1,0,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1
"Aconaemys fuscus",1,2,2,2,1,2,1,2,0,1,1,2,2,2,3,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,1,2,1,1,2,2,2,2,1
"Aconaemys porteri",2,1,1,1,1,2,1,1,1,0,1,1,2,2,2,1,2,2,1,1,2,2,2,1,1,2,3,1,1,2,1,2,1,2,1,1,1,2,2,1,1,1
"Aconaemys sagei",2,2,2,2,2,2,1,2,1,1,0,2,3,3,3,1,3,2,2,2,3,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2
"Akodon albiventer",1,1,1,2,1,2,1,2,2,1,2,0,2,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2
"Andinomys edax",2,2,2,2,2,3,2,2,2,2,3,2,0,1,3,2,1,2,2,2,2,3,3,2,2,3,4,2,2,3,3,2,2,2,1,2,1,2,1,2,2,2
"Auliscomys boliviensis",2,2,2,2,2,3,2,2,2,2,3,2,1,0,3,2,1,2,2,2,2,3,3,2,2,3,4,2,2,3,3,2,2,2,2,2,1,2,1,2,2,2
"Auliscomys sublimis",2,2,2,2,2,3,2,2,3,2,3,2,3,3,0,2,3,2,3,2,3,2,3,2,2,3,4,2,2,3,3,2,2,3,2,2,2,2,3,1,2,2
"Chelemys macronyx",2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,0,2,2,2,1,2,2,2,1,1,1,3,1,1,2,2,2,1,2,1,1,1,2,2,1,1,1
"Chinchillula sahamae",2,2,2,2,2,3,2,2,2,2,3,2,1,1,3,2,0,2,2,2,2,3,3,2,2,3,4,2,2,3,3,2,2,2,2,2,1,2,1,2,2,2
"Ctenomys magellanicus",1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,0,1,2,2,2,2,1,2,2,3,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1
"Ctenomys maulinus",2,2,2,2,1,2,1,2,2,1,2,2,2,2,3,2,2,1,0,2,2,2,2,1,1,2,3,1,1,2,2,2,2,2,2,1,1,2,2,2,1,2
"Ctenomys opimus",2,1,1,2,1,2,1,2,2,1,2,1,2,2,2,1,2,2,2,0,2,2,2,2,2,2,3,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2
"Eligmodontia puerulus",2,2,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,2,2,0,3,3,2,2,3,4,2,2,3,3,2,2,2,2,2,1,2,2,2,2,2
"Eligmodontia typus",2,2,2,2,1,2,1,2,2,2,2,2,3,3,2,2,3,2,2,2,3,0,2,2,2,2,3,1,2,2,2,2,2,2,2,2,2,2,3,1,1,2
"Euneomys chinchilloides",2,2,2,2,1,2,1,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,0,2,2,2,3,2,2,2,2,2,2,2,2,1,2,3,3,2,1,2
"Euneomys mordax",1,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,2,0,1,2,3,1,1,2,2,2,1,2,2,1,1,2,2,1,1,1
"Geoxus valdivianus",2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,0,2,3,1,1,2,2,2,2,2,2,1,1,2,2,1,1,1
"Irenomys tarsalis",2,2,2,2,1,2,1,1,2,2,2,2,3,3,3,1,3,2,2,2,3,2,2,2,2,0,3,1,2,2,2,2,2,2,2,1,2,3,3,2,2,2
"Lagidium viscacia",3,3,3,3,3,3,2,3,3,3,3,3,4,4,4,3,4,3,3,3,4,3,3,3,3,3,0,3,3,1,3,3,2,3,3,2,3,4,4,3,3,3
"Loxodontomys micropus",1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,3,0,1,2,2,2,1,2,1,1,1,2,2,1,1,1
"Loxodontomys pikumche",2,2,2,1,1,2,1,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,3,1,0,2,2,2,2,2,2,1,1,2,2,1,1,1
"Mus musculus",2,2,2,2,2,2,1,2,2,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,1,2,2,0,2,2,1,2,2,1,2,3,3,2,2,2
"Myocastor coypus",2,2,2,2,1,2,1,2,2,1,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,0,2,2,2,2,1,2,3,3,2,2,2
"Octodon bridgesi",1,2,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,0,1,1,2,1,1,2,2,1,2,2
"Octodon degus",1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,2,1,0,1,1,1,1,2,2,1,1,1
"Octodon lunatus",1,2,2,2,1,2,1,2,1,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,1,0,2,2,1,2,2,2,2,2
"Octodontomys gliroides",2,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,3,1,2,2,2,2,1,2,0,1,1,2,2,1,1,2
"Oligoryzomys longicaudatus",1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,2,2,1,1,1
"Phyllotis darwini",1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,2,1,1,2,3,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
"Phyllotis magister",2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,2,2,3,3,2,2,2,2,2,1,0,2,1,2,2
"Phyllotis osgoodi",2,2,2,2,2,3,2,2,2,2,3,2,1,1,3,2,1,2,2,2,2,3,3,2,2,3,4,2,2,3,3,2,2,2,2,2,1,2,0,2,2,2
"Phyllotis xanthopygus",1,1,1,1,1,2,1,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1,2,1,1,2,3,1,1,2,2,1,1,2,1,1,1,1,2,0,1,1
"Reithrodon auritus",1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,1,1,1,2,1,1,1,1,2,3,1,1,2,2,2,1,2,1,1,1,2,2,1,0,1
"Spalacopus cyanus",1,2,2,1,1,2,1,1,1,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,3,1,1,2,2,2,1,2,2,1,1,2,2,1,1,0
