"","Ctenomys maulinus","Reithrodon auritus","Loxodontomys micropus","Akodon albiventer","Ctenomys opimus","Auliscomys boliviensis","Abrothrix olivaceus","Abrothrix manni","Abrothrix lanosus","Octodon lunatus","Auliscomys sublimis","Octodon bridgesi","Phyllotis magister","Spalacopus cyanus","Euneomys chinchilloides","Euneomys mordax","Chinchillula sahamae","Octodontomys gliroides","Chelemys macronyx","Abrothrix sanborni","Loxodontomys pikumche","Octodon degus","Oligoryzomys longicaudatus","Abrocoma bennettii","Abrothrix andinus","Phyllotis xanthopygus","Geoxus valdivianus","Lagidium viscacia","Phyllotis osgoodi","Abrothrix longipilis","Mus musculus","Abrocoma cinerea","Eligmodontia puerulus","Aconaemys fuscus","Ctenomys fulvus","Aconaemys sagei","Aconaemys porteri","Irenomys tarsalis","Ctenomys magellanicus","Phyllotis darwini","Andinomys edax","Eligmodontia typus","Myocastor coypus"
"Ctenomys maulinus",0.999999999999985,0,0.172248101268363,0,0,0,0.0820952632037877,0.0519876058137884,0,0,0,0.368663053701875,0,0,0,0.542787545598908,0,0,0.244947681023288,0,0.125079041697554,0,0.0864892878250852,0,0,0.0502145882898939,0.174084413172955,0.063726816749713,0,0.126341093454369,0.0896645617780532,0,0,0.684989490390706,0,0.369552146452557,0.182573218718695,0.179336360846343,0,0.00577978796521125,0,0,0.0735498630433392
"Reithrodon auritus",0,1.00000000000001,0.147584450689378,0,0,0,0.0915554278141997,0,0.721088135208471,0,0,0,0,0,0.505915955240933,0,0,0,0.0967747957846855,0.0849344264702347,0,0,0.0495553327907739,0,0,0.020956463217918,0.1287738564941,0,0,0.196584196167778,0,0,0,0,0,0,0,0.00526084292005023,0.720871450633905,0,0,0.999999999999983,0.119097522008078
"Loxodontomys micropus",0.999999999999984,0.51393761441694,0.999999999999996,0,0,0,0.46280758234796,0.611397989808838,0.452760714592889,0.0568901171802747,0,0.933459013209037,0,0.374767702336233,5.89200662136779e-06,0.930110018080268,0,0,0.83522852252645,0.628844855274578,0.899394534251184,0.288391049750296,0.471032116527495,0.142201030461348,0.124742152216385,0.191536473162117,0.863291072896819,0.177064081876841,0,0.660432441671785,0.331352850595476,0,0,0.999999999999972,0,0.672583303289329,1,0.675572440568868,0.498604119889776,0.351328377399895,0,0.903330628435568,0.541946725841319
"Akodon albiventer",0,0,0,0.999999999999999,0.860883937301215,0.999521229916747,0,0,0,0,0.95878609409948,0,0.492317680894172,0,0,0,0.997406357444376,0.739059412565395,0,0,0,0,0,0,0.314062259407225,0.270018885522368,0,0.299526641085115,0.783302702058766,0,0.0500721622722128,0.902676503197614,0.746794826431739,0,0.279256197117747,0,0,0,0,0,0.999990421711927,0,0
"Ctenomys opimus",0,0,0,0.0895546302472359,0.999999999999982,0.0747023066452963,0,0,0,0,0.105589147034153,0,0.00592557250031733,0,0,0,0.0646490177105742,0.0647433723719502,0,0,0,0,0,0.00205902135920396,0.0329592326701367,0.0283759964822026,0,0.0316822866151769,0.0400225790858696,0,0.00496380911208281,0.0878138952075332,0.0669815338610229,0,0.0112001657379855,0,0,0,0,0,0.0655935618932077,0,0
"Auliscomys boliviensis",0,0,0,0.145611079311017,0.104614761583749,0.999999999999997,0,0,0,0,0.149639823869708,0,0.0910118481547293,0,0,0,0.852272007229331,0.241781054653816,0,0,0,0,0,0,0.0461568380229772,0.0397383727490815,0,0.0443685745396388,0.541990457964668,0,0.0117081511143364,0.141122701245372,0.108960588806548,0,0,0,0,0,0,0,0.901490413949302,0,0
"Abrothrix olivaceus",0.999999999999984,0.668944736832752,0.971039304839351,0,0,0,1,0.947418785911834,0.561934720280591,0.999982982398472,0,0.999863367537696,0.00928583228897081,0.986566233413969,5.7489348266409e-06,0.873700212706128,0,0.160886369044151,0.988917189967678,0.0849344264702352,0.989788412831569,0.958952666649958,0.860143328698221,0.702269179004369,0.108466613236411,0.196644399190355,0.962631397004612,0.203969866391149,0.0949477455266451,0.925335927242178,0.681075896558351,0,0.0749420759246781,0.999999999999974,0.130114208586617,0.999986741021952,1,0.92716741034842,0.66024165552908,0.926163582518664,0,0.99998895543907,0.947485720766576
"Abrothrix manni",0.0601141869478178,0,0.121774291100634,0,0,0,0.0899367628639776,1,0,0,0,0.0403845292941281,0,0,0,0.0656847274685009,0,0,0.188822569909243,0,0,0,0.103604140657837,0,0,0,0.213702207032705,0.0120047606540448,0,0.12225735462881,0.100983094603892,0,0,0,0,0.158278386631325,0.810640472771267,0.267309908191262,0,0,0,0,0.123364886387748
"Abrothrix lanosus",0,0.410774251674973,0.0740651316289192,0,0,0,0.0438121519579813,0,1,0,0,0,0,0,0.381525855022925,0,0,0,0.0202228061012875,0,0,0,0.0277169982146168,0,0,0,0.0592692346518638,0,0,0.0779484078252197,0,0,0,0,0,0,0,0,0.367821913283525,0,0,0.511709999955126,0.0567379335117211
"Octodon lunatus",0,0,0.00594235324402605,0,0,0,0.0497826375309495,0,0,1.00000000000001,0,0,0,0.334456760252274,0,0,0,0,0,0,0.0872221084517293,0.400326051812485,0.054412867327416,0.207007804741919,4.62684708423716e-05,0.0108029948412306,0,0.00201210983791782,0,0.0742717608166049,0.0551388179180766,0,0,0,0,0,0,0,0,0.196119568048034,0,0,0.0620578788739116
